axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
lambda,lambda_i_per_s,2.5,kmeans,8.837782128518416,0.05220154291990836,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,pso,8.853686734255476,0.04556655464691054,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,sca,8.895161797980736,0.03454559010464549,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,random,8.766356788589832,0.18173307953761955,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,kmeans,8.83793546828319,0.052194291139711364,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,pso,8.853794784466933,0.04560016690609293,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,sca,8.895529429088551,0.03452288399546257,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,random,8.76660664132139,0.18174531007941647,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,kmeans,8.838039560896448,0.05218941233836304,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,pso,8.853868136912507,0.04562310694865065,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,sca,8.895779658596686,0.034507737683472116,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,0.8,random,8.431887178183512,0.271587740140541,0.0,1.0175076885233254,20
aodt,aodt_threshold_s,0.8,kmeans,8.691516422117461,0.09489569423651022,0.0,1.0070584544153944,20
aodt,aodt_threshold_s,0.8,pso,8.600506668850828,0.19924647738848292,0.1,0.9844921411452947,20
aodt,aodt_threshold_s,0.8,sca,8.841793263936198,0.05203967028219204,0.0,10.41875,20
aodt,aodt_threshold_s,1.2,random,8.71759888722491,0.18210836044796244,1.0,1.2,20
aodt,aodt_threshold_s,1.2,kmeans,8.818094675022449,0.05407872325818159,1.0,1.2,20
aodt,aodt_threshold_s,1.2,pso,8.839799228717748,0.04324480178663547,1.0,1.2,20
aodt,aodt_threshold_s,1.2,sca,8.851622190774595,0.044854788905842394,1.0,1.2,20
aodt,aodt_threshold_s,1.6,random,8.747518713659902,0.18104131691959904,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,kmeans,8.83010744802295,0.05267356248705184,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,pso,8.848288304443564,0.044169776187298046,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,sca,8.877839325274078,0.03663930904939075,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,2.0,random,8.757258321273211,0.18134248122879293,1.0,2.0,20
aodt,aodt_threshold_s,2.0,kmeans,8.834149588188994,0.05239660272337755,1.0,2.0,20
aodt,aodt_threshold_s,2.0,pso,8.851129205570908,0.044834392274079995,1.0,2.0,20
aodt,aodt_threshold_s,2.0,sca,8.88667683800182,0.03532547921060995,1.0,2.0,20
aodt,aodt_threshold_s,2.4,random,8.762297633123818,0.18154572943599884,1.0,2.4,20
aodt,aodt_threshold_s,2.4,kmeans,8.8362453109229,0.052278525533253316,1.0,2.4,20
aodt,aodt_threshold_s,2.4,pso,8.852604218069416,0.04524167681312464,1.0,2.4,20
aodt,aodt_threshold_s,2.4,sca,8.891518466239026,0.03482316674411043,1.0,2.4,20
aodt,aodt_threshold_s,2.8,random,8.765392407670278,0.18168663653118441,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,kmeans,8.837533755021678,0.05221345309142245,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,pso,8.853511733990693,0.04551256912736568,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,sca,8.894567455159576,0.034584335451547564,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,3.0,random,8.766532778736188,0.18174168592522374,1.0,3.0,20
aodt,aodt_threshold_s,3.0,kmeans,8.838008787872676,0.05219085096462075,1.0,3.0,20
aodt,aodt_threshold_s,3.0,pso,8.85384645130259,0.04561631482484444,1.0,3.0,20
aodt,aodt_threshold_s,3.0,sca,8.895705617234668,0.034512182461392996,1.0,3.0,20
cpu,uav_cpu_cycles_per_s,50000000.0,random,8.76313810679391,0.1816396155291258,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,kmeans,8.83655789440428,0.05232076704877019,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,pso,8.852787797498499,0.045357604977354096,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,sca,8.892251350978453,0.03485658371804604,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,random,8.764778928176973,0.18165772186718127,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,kmeans,8.83727826235393,0.05222591694122506,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,pso,8.8533317371913,0.04545762907292884,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,sca,8.89395851391137,0.03462679147510783,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,random,8.765194146676277,0.18167723863471744,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,kmeans,8.837451181802969,0.0522174577219591,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,pso,8.853453558271122,0.0454947470866363,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,sca,8.89437047149098,0.034597679638726626,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,random,8.765392407670278,0.18168663653118441,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,kmeans,8.837533755021678,0.05221345309142245,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,pso,8.853511733990693,0.04551256912736568,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,sca,8.894567455159576,0.034584335451547564,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,random,8.765508533837703,0.18169216482315367,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,kmeans,8.837582122095851,0.05221111783301278,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,pso,8.853545811246356,0.04552303751654382,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,sca,8.89468313430507,0.03457655559883036,1.0,2.7999999999999994,20
