axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
lambda,lambda_i_per_s,2.5,kmeans,8.901317461494331,0.029502234131173085,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,pso,8.904908316817792,0.03352005630035976,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,2.5,sca,8.94726018057466,0.025265185128149154,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,random,8.929806029235333,0.03432217758663604,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,kmeans,8.901612676985435,0.029464122013716197,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,pso,8.90512790820244,0.03355255849024093,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.0,sca,8.947772009825867,0.025243984729686846,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,random,8.930365128447141,0.03411587925786691,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,kmeans,8.901813019683201,0.02943850233942449,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,pso,8.905276910938166,0.03357475588203788,1.0,2.7999999999999994,20
lambda,lambda_i_per_s,3.5,sca,8.94811778052872,0.025232226037298904,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,0.8,random,8.431887178183512,0.271587740140541,0.0,1.0175076885233254,20
aodt,aodt_threshold_s,0.8,kmeans,8.691516422117461,0.09489569423651022,0.0,1.0070584544153944,20
aodt,aodt_threshold_s,0.8,pso,8.605555797573302,0.1932247494673092,0.1,0.9844921411452947,20
aodt,aodt_threshold_s,0.8,sca,8.90900890978301,0.028659818273822968,0.0,10.463750000000001,20
aodt,aodt_threshold_s,1.2,random,8.822143679243462,0.09605377348183541,1.0,1.2,20
aodt,aodt_threshold_s,1.2,kmeans,8.863165713661655,0.03790417588324211,1.0,1.2,20
aodt,aodt_threshold_s,1.2,pso,8.876239579549555,0.03218776893039201,1.0,1.2,20
aodt,aodt_threshold_s,1.2,sca,8.88854007456994,0.03261468487784158,1.0,1.2,20
aodt,aodt_threshold_s,1.6,random,8.887292846023108,0.05541630639595875,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,kmeans,8.886399643573727,0.03195199003411753,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,pso,8.893767089190447,0.03223883759709447,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,sca,8.924671929540613,0.02636779406772005,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,2.0,random,8.909363074383185,0.04342534769698933,1.0,2.0,20
aodt,aodt_threshold_s,2.0,kmeans,8.894292140593679,0.0305307967146444,1.0,2.0,20
