axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
aodt,aodt_threshold_s,1.2,sca,6.984671342456068,0.5910721113839434,1.0,1.2,20
aodt,aodt_threshold_s,1.6,random,7.026552947190758,1.1756378550981699,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,kmeans,7.208154698032322,0.4814927469768319,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,pso,7.689606843107896,0.3324548552090502,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,1.6,sca,7.7528856583873385,0.4042267122457019,1.0,1.6000000000000003,20
aodt,aodt_threshold_s,2.0,random,7.563932807237853,0.7667306361585382,1.0,2.0,20
aodt,aodt_threshold_s,2.0,kmeans,7.353609200458681,0.4562298780037779,1.0,2.0,20
aodt,aodt_threshold_s,2.0,pso,7.939603117906319,0.2910640567298968,1.0,2.0,20
aodt,aodt_threshold_s,2.0,sca,8.06087052773103,0.309417090020864,1.0,2.0,20
aodt,aodt_threshold_s,2.4,random,7.80183834275254,0.5741484602266532,1.0,2.4,20
aodt,aodt_threshold_s,2.4,kmeans,7.428338178126914,0.4464508572637533,1.0,2.4,20
aodt,aodt_threshold_s,2.4,pso,8.046526492111143,0.26341777696885105,1.0,2.4,20
aodt,aodt_threshold_s,2.4,sca,8.207678336715649,0.2900151077665899,1.0,2.4,20
aodt,aodt_threshold_s,2.8,random,7.94693536757907,0.46427523880974675,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,kmeans,7.474058203702092,0.4415719059567104,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,pso,8.121866195236159,0.2515250254896294,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,2.8,sca,8.300137868754854,0.27840929776761675,1.0,2.7999999999999994,20
aodt,aodt_threshold_s,3.0,random,8.000308064946744,0.4264544989939672,1.0,3.0,20
aodt,aodt_threshold_s,3.0,kmeans,7.490872816934152,0.43999349172804353,1.0,3.0,20
aodt,aodt_threshold_s,3.0,pso,8.149527508793321,0.24763779475442618,1.0,3.0,20
aodt,aodt_threshold_s,3.0,sca,8.334721087150001,0.27379190857531754,1.0,3.0,20
cpu,uav_cpu_cycles_per_s,50000000.0,random,7.8464274879397395,0.5360600128855114,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,kmeans,7.440747666919658,0.4457261005240778,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,pso,8.06771036915718,0.26651545741686766,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,50000000.0,sca,8.217112737146268,0.27233544048949415,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,random,7.918202144916402,0.48531352929275523,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,kmeans,7.465005358333716,0.4424701485579966,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,100000000.0,pso,8.106963240195808,0.25372849925449414,1.0,2.7999999999999994,20
