axis,x_name,x,repeated_default,bh_q_unique_family,bh_family_size,champion,baseline,n_seeds,n_jointly_feasible,mean_delta_Mbps,std_delta_Mbps,sem_delta_Mbps,ci95_lo_Mbps,ci95_hi_Mbps,wins,ties,losses,win_rate,wilcoxon_W_plus,wilcoxon_n_nonzero,wilcoxon_method,wilcoxon_p_two_sided,wilcoxon_p_greater,t_stat,t_df,t_p_two_sided,t_p_greater,champion_mean_Mbps,baseline_mean_Mbps,quote
iots,num_iot,16.0,False,9.5367431640625e-06,25,sca,pso,20,20,0.0427161110473099,0.026896003498164553,0.0060141292144968075,0.03012839393504837,0.05530382815957143,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,7.10262608664019,19,9.358292738783813e-07,4.6791463693919066e-07,8.941696952020779,8.898980840973467,"SCA wins by 0.043+/-0.027 Mbps vs pso, p<0.001, 20/20 seeds"
iots,num_iot,20.0,False,3.9736429850260414e-05,25,sca,random,20,20,0.036531762569849933,0.04191651360520549,0.009372817380103426,0.016914230335717248,0.05614929480398262,19,0,1,0.95,207.0,20,exact,9.5367431640625e-06,4.76837158203125e-06,3.897628758605645,19,0.0009680383474128569,0.00048401917370642845,8.934087419488245,8.897555656918396,"SCA wins by 0.037+/-0.042 Mbps vs random, p<0.001, 19/20 seeds"
iots,num_iot,20.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.03582556198459619,0.02225801598463692,0.004977043678592506,0.025408489845461284,0.04624263412373109,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,7.198161056671207,19,7.752415324501503e-07,3.8762076622507513e-07,8.934087419488245,8.898261857503652,"SCA wins by 0.036+/-0.022 Mbps vs kmeans, p<0.001, 20/20 seeds"
iots,num_iot,20.0,False,0.0045880027439283285,25,sca,pso,20,20,0.02165499233387873,0.027839861862799593,0.006225182360942381,0.008625535909348055,0.03468444875840941,17,0,3,0.85,179.0,20,exact,0.0042209625244140625,0.0021104812622070312,3.4786117222436763,19,0.0025144380434063726,0.0012572190217031863,8.934087419488245,8.912432427154368,"SCA wins by 0.022+/-0.028 Mbps vs pso, p=0.00422, 17/20 seeds"
iots,num_iot,24.0,False,2.384185791015625e-05,25,sca,random,20,20,0.04410587324622526,0.04138683060464964,0.009254376660526533,0.02473624028718844,0.06347550620526207,19,0,1,0.95,209.0,20,exact,3.814697265625e-06,1.9073486328125e-06,4.765947493184898,19,0.00013438121861954923,6.719060930977462e-05,8.925051981219816,8.880946107973589,"SCA wins by 0.044+/-0.041 Mbps vs random, p<0.001, 19/20 seeds"
iots,num_iot,24.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.0337988684426862,0.017929972559848167,0.004009263747852642,0.02540738297796344,0.04219035390740897,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,8.430193314368218,19,7.632250193996667e-08,3.8161250969983333e-08,8.925051981219816,8.891253112777132,"SCA wins by 0.034+/-0.018 Mbps vs kmeans, p<0.001, 20/20 seeds"
iots,num_iot,24.0,False,1.5894571940104168e-05,25,sca,pso,20,20,0.026174449516769283,0.020227269300759368,0.0045229549155692585,0.01670779608147855,0.035641102952060015,19,0,1,0.95,209.0,20,exact,3.814697265625e-06,1.9073486328125e-06,5.7870241922309695,19,1.4151454251908011e-05,7.0757271259540055e-06,8.925051981219816,8.898877531703047,"SCA wins by 0.026+/-0.020 Mbps vs pso, p<0.001, 19/20 seeds"
iots,num_iot,28.0,False,1.5894571940104168e-05,25,sca,random,20,20,0.060441910363458626,0.05003906547985625,0.011189075194352171,0.037022906835096264,0.08386091389182099,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,5.401868278976931,19,3.266020353839792e-05,1.633010176919896e-05,8.918979801278704,8.858537890915247,"SCA wins by 0.060+/-0.050 Mbps vs random, p<0.001, 20/20 seeds"
iots,num_iot,28.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.02505201006741311,0.01759161302790751,0.00393360425642721,0.016818881738188074,0.033285138396638145,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,6.368716432640634,19,4.140832637838064e-06,2.070416318919032e-06,8.918979801278704,8.893927791211294,"SCA wins by 0.025+/-0.018 Mbps vs kmeans, p<0.001, 20/20 seeds"
iots,num_iot,28.0,False,0.0004486604170365767,25,sca,pso,20,20,0.019871710911991337,0.021358728494643316,0.004775956882698421,0.009875518273686646,0.02986790355029603,18,0,2,0.9,193.0,20,exact,0.0003948211669921875,0.00019741058349609375,4.160781053945319,19,0.0005307497033801225,0.0002653748516900613,8.918979801278704,8.899108090366713,"SCA wins by 0.020+/-0.021 Mbps vs pso, p<0.001, 18/20 seeds"
iots,num_iot,32.0,False,3.9736429850260414e-05,25,sca,random,20,20,0.06839024204391748,0.06697546612463802,0.014976169507942502,0.03704475902089766,0.09973572506693731,19,0,1,0.95,207.0,20,exact,9.5367431640625e-06,4.76837158203125e-06,4.566604431637023,19,0.0002108180455577982,0.0001054090227788991,8.906371970778956,8.837981728735038,"SCA wins by 0.068+/-0.067 Mbps vs random, p<0.001, 19/20 seeds"
iots,num_iot,32.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.02327502680640974,0.01147002578348204,0.0025647757355541125,0.017906889497732233,0.028643164115087244,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,9.074877964478729,19,2.454515291195296e-08,1.227257645597648e-08,8.906371970778956,8.883096943972548,"SCA wins by 0.023+/-0.011 Mbps vs kmeans, p<0.001, 20/20 seeds"
